Player:,3.5_30,2.5_30,1.5_30,3.5_31,2.5_31,1.5_31,3.5_32,2.5_32,1.5_32,3.5_33,2.5_33,1.5_33,3.5_34,2.5_34,1.5_34,3.5_35,2.5_35,1.5_35,3.5_36,2.5_36,1.5_36,3.5_36,2.5_36,1.5_36,3.5_38,2.5_38,1.5_38,3.5_38,2.5_38,1.5_38
Arsenal,1.02,1.12,1.5,1.08,1.3,2,1.06,1.22,1.8,1.04,1.18,1.66,1.07,1.28,1.9,1.12,1.4,2.25,1.12,1.4,2.25,,,,1.12,1.4,2.25,1.1,1.33,2.1
Aston Villa,1.03,1.14,1.53,,1.06,1.3,,1.025,1.16,1.06,1.22,1.8,1.01,1.07,1.36,1.01,1.07,1.36,1.01,1.07,1.36,1.04,1.16,1.61,,1.06,1.3,,1.04,1.22
Brighton,,1.04,1.22,1.025,1.12,1.53,,1.025,1.18,1.05,1.2,1.72,1.04,1.18,1.66,1.025,1.11,1.5,1.02,1.11,1.5,1.02,1.1,1.44,,1.03,1.2,,1.05,1.25
Burnley,,1.06,1.28,1.02,1.11,1.5,,1.02,1.14,,1.04,1.25,1.02,1.1,1.44,1.01,1.06,1.33,1.01,1.06,1.33,1.03,1.14,1.57,,1.04,1.22,1.04,1.18,1.56
Chelsea,1.2,1.61,2.75,1.08,1.3,2,1.08,1.28,1.9,1.06,1.25,1.83,1.11,1.36,2.2,,1.04,1.25,,1.04,1.25,,,,1.06,1.22,1.8,1.14,1.44,2.37
Crystal Palace,,1.03,1.2,,1.02,1.14,,,,,1.015,1.14,,1.015,1.12,1.015,1.1,1.4,1.015,1.1,1.4,1.02,1.11,1.44,,1.04,1.22,,1.015,1.12
Everton,1.04,1.18,1.66,1.01,1.07,1.33,1.015,1.1,1.4,1.01,1.07,1.33,1.05,1.22,1.8,1.02,1.11,1.44,1.02,1.11,1.44,1.11,1.36,2.2,1.05,1.2,1.72,,1.04,1.25
Fulham,1.01,1.07,1.33,1.015,1.1,1.4,,1.03,1.22,,,,,1.02,1.16,1.03,1.14,1.57,1.03,1.14,1.57,1.01,1.06,1.33,,1.025,1.18,1.06,1.25,1.83
Leeds,1.11,1.36,2.2,,1.03,1.2,1.02,1.1,1.44,1.02,1.11,1.44,1.02,1.1,1.44,1.025,1.12,1.53,1.025,1.12,1.53,1.05,1.2,1.72,1.06,1.25,1.83,1.22,1.66,3
Leicester,1.03,1.12,1.5,1.03,1.14,1.57,1.1,1.33,2,1.1,1.36,2.1,1.05,1.22,1.8,1.12,1.44,2.37,1.12,1.44,2.37,,,,,1.03,1.2,1.08,1.28,2
Liverpool,1.05,1.2,1.72,1.14,1.44,2.37,1.14,1.44,2.37,1.25,1.66,3,1.04,1.16,1.61,1.25,1.72,3.25,1.25,1.72,3.25,1.28,1.72,3.4,1.36,2,3.75,1.44,2.1,4.33
Man City,1.1,1.33,2.1,1.25,1.72,3.25,1.18,1.53,2.62,,,,1.18,1.53,2.62,1.04,1.18,1.66,1.04,1.18,1.66,1.25,1.66,3.25,1.14,1.44,2.37,1.14,1.44,2.5
Man Utd,1.08,1.28,1.9,1.04,1.16,1.61,1.16,1.5,2.5,1.1,1.33,2.1,1.03,1.14,1.57,1.08,1.3,2,1.08,1.3,2,,,,1.18,1.57,1.62,1.03,1.14,1.53
Newcastle,,1.04,1.22,,1.05,1.28,1.01,1.07,1.33,,1.015,1.14,1.01,1.08,1.36,,1.03,1.2,,1.03,1.2,,1.015,1.14,1.08,1.28,2,1.025,1.12,1.53
Sheffield Utd,,1.03,1.2,,1.025,1.18,,1.02,1.14,,1.02,1.16,,1.01,1.12,1.01,1.08,1.36,1.01,1.08,1.36,,1.02,1.14,,1.06,1.3,1.03,1.14,1.57
Southampton,1.04,1.16,1.61,1.04,1.16,1.61,,1.06,1.3,,,,1.025,1.12,1.5,,1.03,1.2,,1.03,1.2,1.05,1.2,1.72,1.05,1.2,1.72,1.01,1.08,1.36
Tottenham,1.08,1.3,2,1.025,1.12,1.5,1.04,1.16,1.66,,,,1.18,1.57,2.62,1.06,1.25,1.83,1.06,1.25,1.83,1.1,1.36,2.1,1.16,1.5,2.5,1.03,1.14,1.53
West Brom,,,1.07,1.015,1.08,1.36,,1.025,1.18,,1.06,1.3,1.01,1.08,1.36,,1.03,1.2,,1.03,1.2,,1.015,1.14,1.01,1.06,1.33,1.01,1.07,1.33
West Ham,1.015,1.1,1.4,1.02,1.11,1.44,1.05,1.2,1.72,,1.05,1.28,1.05,1.2,1.72,1.04,1.16,1.66,1.04,1.16,1.66,1.025,1.12,1.53,1.12,1.4,2.25,1.11,1.36,2.2
Wolves,1.01,1.07,1.33,,1.05,1.28,1.05,1.22,1.8,1.04,1.16,1.61,1.025,1.12,1.5,1.01,1.06,1.33,1.01,1.06,1.33,,1.03,1.18,,1.05,1.25,1.03,1.14,1.57
